t,theta
0.0,0.5707937537153396
0.06283185307179587,0.6301202326054096
0.12566370614359174,0.4566125471151928
0.1884955592153876,0.5771569681119844
0.25132741228718347,0.8132219991048979
0.3141592653589793,0.48611461956362156
0.3769911184307752,0.5623391614637521
0.4398229715025711,0.6741390335736405
0.5026548245743669,0.610815600757029
0.5654866776461628,0.5459551034643899
0.6283185307179586,0.5779239676861981
0.6911503837897546,0.5507291697663255
0.7539822368615504,0.512297062889843
0.8168140899333463,0.47997678938102917
0.8796459430051422,0.37977857048574004
0.942477796076938,0.4545421592361026
1.0053096491487339,0.3856213298429436
1.0681415022205298,0.10001142285575398
1.1309733552923256,0.15295649030653774
1.1938052083641215,0.1700628438336533
1.2566370614359172,0.2392507559225076
1.3194689145077132,0.11477979266612419
1.3823007675795091,0.0315354771346837
1.4451326206513049,-0.1292122480220209
1.5079644737231008,0.04023526920898883
1.5707963267948968,-0.11933612918238012
1.6336281798666925,0.04656200320446563
1.6964600329384885,-0.13811938854630124
1.7592918860102844,-0.1343901598157758
1.8221237390820801,0.06377634354710468
1.884955592153876,-0.24457204438004404
1.9477874452256718,-0.18496021524702524
2.0106192982974678,-0.16865834944575941
2.0734511513692637,-0.26260275118578813
2.1362830044410597,-0.27746862048710436
2.199114857512855,-0.44919188060761134
2.261946710584651,-0.427030144308662
2.324778563656447,-0.37510829276168184
2.387610416728243,-0.40297869949249177
2.450442269800039,-0.6142904419320527
2.5132741228718345,-0.6430676955454386
2.5761059759436304,-0.6332965150181413
2.6389378290154264,-0.7091878498236915
2.7017696820872223,-0.6613614603275975
2.7646015351590183,-0.651280596496324
2.8274333882308142,-0.670483909203683
2.8902652413026098,-0.7509780668069637
2.9530970943744057,-0.5547100816891464
3.0159289474462017,-0.534035793359587
3.0787608005179976,-0.8094089217565574
3.1415926535897936,-0.5936075429795505
3.204424506661589,-0.6896762261978886
3.267256359733385,-0.5550041439323342
3.330088212805181,-0.735223006440379
3.392920065876977,-0.7475639271511387
3.455751918948773,-0.6527473247325837
3.518583772020569,-0.7349654427846284
3.5814156250923643,-0.6403204726751215
3.6442474781641603,-0.7339653084014147
3.7070793312359562,-0.6471742363852758
3.769911184307752,-0.5561749275222265
3.832743037379548,-0.5984768252479143
3.8955748904513436,-0.4454260689938941
3.9584067435231396,-0.3436285018028775
4.0212385965949355,-0.3614517291609513
4.084070449666731,-0.5539413842197474
4.1469023027385274,-0.35454992360443294
4.209734155810323,-0.4662668339666299
4.272566008882119,-0.35237716252790297
4.335397861953915,-0.32928680490872553
4.39822971502571,-0.33300586723435466
4.461061568097507,-0.22553312189026922
4.523893421169302,0.10032851054140574
4.586725274241099,-0.1557792915808504
4.649557127312894,0.025005865207931077
4.71238898038469,-0.02346472328108273
4.775220833456486,0.024400543559799
4.838052686528282,-0.001650881559782498
4.900884539600078,0.021961086393849208
4.9637163926718735,0.12450780360853486
5.026548245743669,0.21889812364053218
5.089380098815465,0.2074703528653782
5.152211951887261,0.0644461217567672
5.215043804959057,0.26897326307229763
5.277875658030853,0.3882547795081598
5.340707511102649,0.3074231141457066
5.403539364174445,0.3357052735940683
5.46637121724624,0.4846753710167756
5.529203070318037,0.3536286945880909
5.592034923389832,0.6019700736144478
5.6548667764616285,0.4632395339368355
5.717698629533424,0.5603659034795822
5.7805304826052195,0.5094538908062733
5.843362335677016,0.7109839303242325
5.906194188748811,0.6169777726689762
5.969026041820608,0.6275178128624964
6.031857894892403,0.7235944675152115
6.094689747964199,0.6790473303199875
6.157521601035995,0.7664413763465081
6.220353454107791,0.782164611238668
6.283185307179586,0.7601927669592493
